label,old_name,new_name,tag,filtered_tags
not_an_issue,Al Jabhali,qraaa,name:en,"{""GNS:dsg_code"":""PPL"",""GNS:dsg_name"":""populated place"",""GNS:id"":""14657886"",""int_name"":""Al Jabhalī"",""name"":""قراع"",""name:ar"":""قراع"",""place"":""hamlet"",""population"":""144"",""population:date"":""2004-12-17"",""source:name"":""GNS"",""source:population"":""YCSO2004:20-2-22-111-3""}"
not_an_issue,,VERXEED NAKAITABASHI,name:en,"{""addr:province"":""東京都"",""amenity"":""bicycle_rental"",""authentication:app"":""yes"",""brand"":""HELLO CYCLING"",""brand:ja"":""ハローサイクリング"",""brand:wikidata"":""Q91231927"",""capacity"":""10"",""contact:website"":""https://www.hellocycling.jp"",""fee"":""yes"",""gbfs:station_id"":""4152"",""gbfs:system_id"":""hellocycling"",""name"":""VERXEED NAKAITABASHI"",""name:ja"":""VERXEED NAKAITABASHI"",""network"":""HELLO CYCLING"",""network:ja"":""ハローサイクリング"",""network:wikidata"":""Q91231927""}"
not_an_issue,,"Columbia Hospital ""Negro Unit""",name,"{""historic"":""memorial"",""memorial"":""plaque""}"
not_an_issue,,STRIKE. BODY CARE,name,"{""shop"":""massage""}"
not_an_issue,,NUTRA-FINITY,name,"{""addr:housenumber"":""839"",""addr:street"":""D. Romualdez Senior Street"",""building"":""industrial""}"
not_an_issue,Palba coffee craft,Palba coffee crof+,name,"{""amenity"":""cafe"",""contact:instagram"":""palbacoffee"",""cuisine"":""coffee_shop"",""opening_hours"":""Sa 09:00-17:00; Mo-Tu, Th-Fr 09:30-17:30""}"
not_an_issue,,baccsod,name,"{""amenity"":""bank"",""building"":""yes""}"
not_an_issue,,KITCHEN106,name,"{""amenity"":""restaurant"",""cuisine"":""italian""}"
not_an_issue,,ZOZOBASE,name:en,"{""addr:province"":""千葉県"",""amenity"":""bicycle_rental"",""authentication:app"":""yes"",""brand"":""HELLO CYCLING"",""brand:ja"":""ハローサイクリング"",""brand:wikidata"":""Q91231927"",""capacity"":""6"",""contact:website"":""https://www.hellocycling.jp"",""fee"":""yes"",""gbfs:station_id"":""6155"",""gbfs:system_id"":""hellocycling"",""name"":""ZOZOBASE"",""name:ja"":""ZOZOBASE"",""network"":""HELLO CYCLING"",""network:ja"":""ハローサイクリング"",""network:wikidata"":""Q91231927""}"
not_an_issue,,Killer,name,"{""shop"":""clothes""}"
not_an_issue,,the bullet,name,"{""attraction"":""water_slide""}"
not_an_issue,,Sind Feed Poultry Research Farm,name,"{""building"":""yes"",""industrial"":""slaughterhouse"",""landuse"":""industrial""}"
not_an_issue,,chickeosr,name,"{""amenity"":""fast_food"",""cuisine"":""chicken""}"
